,missing_frac,zero_frac,n_unique,iqr,std,min,max,within_1_99_frac
Lipoprotein(a) (mg/dl),0.000000,0.118215,14134,43.609985,37.404874,0.000000,364.818050,0.989967
"1,5-Anhydrosorbitol (mM)",0.000000,0.000000,16047,0.075441,0.057304,0.007219,0.497325,0.979934
2-Aminobutyric acid (mM),0.000000,0.000000,16047,0.025792,0.020593,0.007177,0.256244,0.979934
2-Hydroxybutyric acid (mM),0.000000,0.000000,16047,0.024490,0.026002,0.004232,0.390144,0.979934
2-Oxoglutaric acid (mM),0.000000,0.000000,16047,0.008789,0.006661,0.003923,0.064472,0.979934
3-Hydroxybutyric acid (mM),0.000000,0.000000,16047,0.049394,0.109391,0.010524,5.156762,0.979934
3-Hydroxyisobutyric acid (mM),0.000000,0.000000,16047,0.008522,0.007184,0.001875,0.077594,0.979934
Acetic acid (mM),0.000000,0.000000,16047,0.013465,0.025823,0.004546,1.260886,0.979934
Acetoacetic acid (mM),0.000000,0.000000,16047,0.016708,0.033763,0.001121,1.909350,0.979934
Acetone (mM),0.000000,0.000000,16047,0.016061,0.035527,0.005481,3.153246,0.979934
Alanine (mM),0.000000,0.000000,16047,0.126361,0.094910,0.173704,1.082698,0.979934
Arginine (mM),0.000000,0.000000,16047,0.050401,0.037244,0.021717,0.314882,0.979934
Asparagine (mM),0.000000,0.000000,16047,0.018771,0.014557,0.006969,0.150439,0.979934
Aspartate (mM),0.000000,0.000000,16047,0.012137,0.009070,0.004064,0.104853,0.979934
Choline (mM),0.000000,0.000000,16047,0.002608,0.001958,0.003014,0.037631,0.979934
Betaine (mM),0.000000,0.000000,16047,0.018495,0.016834,0.007632,1.032637,0.979934
Citric acid (mM),0.000000,0.000000,16047,0.055236,0.043808,0.030292,0.445427,0.979934
Creatine (mM),0.000000,0.000000,16047,0.025161,0.019502,0.002790,0.281921,0.979934
Creatinine (mM),0.000000,0.000000,16047,0.026899,0.021168,0.010830,0.422261,0.979934
Cystine (mM),0.000000,0.000000,16047,0.017802,0.013449,0.000963,0.280960,0.979934
D-Galactose (mM),0.000000,0.000000,16047,0.004162,0.003152,0.001677,0.041378,0.979934
Dimethylamine (mM),0.000000,0.000000,16047,0.012377,0.014268,0.000792,0.339386,0.979934
Dimethylsulfone (mM),0.000000,0.000000,16047,0.006753,0.065371,0.000887,5.887744,0.979934
Ethanol (mM),0.000000,0.000000,16047,0.005771,0.745954,0.001294,38.926882,0.979934
Formic acid (mM),0.000000,0.000000,16047,0.009058,0.007851,0.001193,0.183622,0.979934
Glucose (mM),0.000000,0.000000,16047,0.911041,1.141927,2.201053,23.640043,0.979934
Glutamic acid (mM),0.000000,0.000000,16047,0.047910,0.036903,0.007224,0.379988,0.979934
Glutamine (mM),0.000000,0.000000,16047,0.169784,0.125352,0.222807,1.332024,0.979934
Glycerol (mM),0.000000,0.000000,16047,0.098070,0.106047,0.023395,7.085103,0.979934
Glycine (mM),0.000000,0.000000,16047,0.074479,0.068180,0.114204,0.874352,0.979934
Histidine (mM),0.000000,0.000000,16047,0.036154,0.027134,0.010647,0.575807,0.979934
Isoleucine (mM),0.000000,0.000000,16047,0.021576,0.016983,0.026920,0.181250,0.979934
Lactic acid (mM),0.000000,0.000000,16047,0.870756,0.691635,0.636942,10.394510,0.979934
Leucine (mM),0.000000,0.000000,16047,0.036552,0.027284,0.054003,0.294758,0.979934
Lysine (mM),0.000000,0.000000,16047,0.066533,0.051478,0.064071,0.561105,0.979934
Methanol (mM),0.000000,0.000000,16047,0.022250,0.116084,0.001714,4.647104,0.979934
Methionine (mM),0.000000,0.000000,16047,0.021233,0.023518,0.012027,1.456525,0.979934
Myo-inositol (mM),0.000000,0.000000,16047,0.013731,0.012848,0.007706,0.436978,0.979934
"N,N-Dimethylglycine (mM)",0.000000,0.000000,16047,0.002153,0.007509,0.000262,0.791538,0.979934
Ornithine (mM),0.000000,0.000000,16047,0.033567,0.026052,0.009872,0.319621,0.979934
Phenylalanine (mM),0.000000,0.000000,16047,0.022519,0.016640,0.008628,0.179773,0.979934
Proline (mM),0.000000,0.000000,16047,0.100278,0.085477,0.029085,1.300419,0.979934
Pyruvic acid (mM),0.000000,0.000000,16047,0.037295,0.030615,0.001538,0.517090,0.979934
Sarcosine (mM),0.000000,0.000000,10482,0.000989,0.000845,0.000000,0.023835,0.979934
Serine (mM),0.000000,0.000000,16047,0.037541,0.028529,0.037970,0.373662,0.979934
Succinic acid (mM),0.000000,0.000000,16047,0.001544,0.001419,0.000322,0.089759,0.979934
Threonine (mM),0.000000,0.000000,16047,0.058735,0.046305,0.034415,0.520806,0.979934
Trimethylamine-N-oxide (mM),0.000000,0.000000,12113,0.017890,0.026766,0.000000,0.653377,0.987911
Tyrosine (mM),0.000000,0.000000,16047,0.018697,0.014344,0.013192,0.151384,0.979934
Valine (mM),0.000000,0.000000,16047,0.070159,0.052756,0.113602,0.560269,0.979934
HDL cholesterol (mg/dl),0.000000,0.000000,16014,20.115375,15.225278,5.730580,139.449010,0.979934
LDL cholesterol (mg/dl),0.000000,0.000000,16035,43.451230,34.502317,0.000100,410.179880,0.979934
Triglycerides (mg/dl),0.000000,0.000000,16043,56.364575,75.931858,20.512690,1717.707250,0.979934
Albumin (g/dl),0.000000,0.000000,13418,0.261940,0.223083,2.998770,4.831880,0.979934
Urea (mg/dl),0.000000,0.000000,15988,10.233110,10.205510,0.000100,235.066380,0.979934
Urate (mg/dl),0.000000,0.000000,15714,1.557430,1.511772,0.000100,104.980030,0.979934
Calcium (mg/dl),0.000000,0.000000,14309,0.252600,0.216863,7.714050,10.368710,0.979934
C reactive protein (mg/dl),0.000000,0.000000,12576,0.138275,0.595976,0.055760,16.689350,0.979934
Glyc A (mM),0.000000,0.000000,11880,0.095085,0.075817,0.421410,1.250600,0.979934
SPC (mM),0.000000,0.000000,13831,0.193610,0.151006,0.255140,1.593700,0.979934
Transferrin (mg/dl),0.000000,0.000000,11825,45.970000,35.641536,30.631500,457.000000,0.979934
Iron (µg/dl),0.000000,0.000000,16006,43.428680,26.202886,30.033890,144.383020,0.979934
Apolipoprotein B (mg/ml),0.000000,0.000000,13649,0.286395,0.219871,0.523150,1.662080,0.979934
Erythrocyte sedimentation rate (mm/h),0.000000,0.000000,15894,4.669845,7.263650,2.638390,89.474020,0.979934
Bilirubin (mg/dl),0.000000,0.000000,14445,0.306405,0.272453,0.235710,2.056460,0.979934
Estimated Glomerular Filtration Rate (ml/min/1.73m²),0.000000,0.000000,15973,9.002300,8.878975,0.000100,126.423030,0.979934
Leukocytes (G/l),0.000000,0.000000,15720,1.417525,1.110660,4.468500,11.790880,0.979934
Erythrocytes (T/l),0.000000,0.000000,14997,0.594450,0.360335,4.040360,5.668480,0.979934
Platelets (G/l),0.000000,0.000000,16032,48.946230,39.746120,95.264440,569.500550,0.979934
GlycB to GlycA ratio (unitless),0.000000,0.000000,16036,0.006011,0.004798,0.180268,0.322323,0.979934
Non-albumin protein (g/dl),0.000000,0.000000,15070,0.352550,0.260475,1.594510,4.033810,0.979934
Urea to creatinine ratio (unitless),0.000000,0.000000,16047,17.938611,16.005854,0.000121,304.511070,0.979934
BCAA to AAA (Phe+Tyr) ratio (unitless),0.000000,0.000000,16047,1.228647,0.989778,1.598938,12.296375,0.979934
Lactate to pyruvate ratio (unitless),0.000000,0.000000,16047,51.617286,52.162862,8.760245,1171.606213,0.979934
Glutamine to glutamate ratio (unitless),0.000000,0.000000,16047,4.490637,4.258542,1.190760,117.282989,0.979934
